Timestamp,Weighted_Price
2019-01-01,3700.6786991842628
2019-01-02,3824.381087968745
2019-01-03,3829.1043907331505
2019-01-04,3784.3332481629905
2019-01-05,3834.1348999003303
2019-01-06,3885.3312363064756
2019-01-07,4022.4037756356242
2019-01-08,4006.8225076284766
2019-01-09,4010.343311736357
2019-01-10,3792.036096844153
2019-01-11,3636.680781558268
2019-01-12,3626.334444156507
2019-01-13,3575.310055370957
2019-01-14,3582.6045220701276
2019-01-15,3640.2933370626533
2019-01-16,3603.489606090332
2019-01-17,3603.1108963190545
2019-01-18,3615.0162402835504
2019-01-19,3676.0489639623165
2019-01-20,3600.567148417238
2019-01-21,3535.8924402909574
2019-01-22,3552.1442090795954
2019-01-23,3568.8892522602328
2019-01-24,3554.4169672165763
2019-01-25,3556.4355556935034
2019-01-26,3571.749735825
2019-01-27,3544.6536098467163
2019-01-28,3436.941291834935
2019-01-29,3397.877534980225
2019-01-30,3424.025729216489
2019-01-31,3424.2888032742458
2019-02-01,3416.5945310711195
2019-02-02,3432.0971087290923
2019-02-03,3424.8240322348647
2019-02-04,3413.9380681214006
2019-02-05,3419.317979059432
2019-02-06,3371.2772503979954
2019-02-07,3366.177812950827
2019-02-08,3455.8028503283185
2019-02-09,3614.850835004142
2019-02-10,3607.8551170725236
2019-02-11,3595.1341640299484
2019-02-12,3577.8738073706313
2019-02-13,3581.973573379468
2019-02-14,3568.8213874426947
2019-02-15,3570.444201253227
2019-02-16,3587.674873840408
2019-02-17,3585.2871700518695
2019-02-18,3756.6733688644977
2019-02-19,3900.7317082503164
2019-02-20,3910.910261047882
2019-02-21,3906.5344646312183
2019-02-22,3925.7113364517213
2019-02-23,3984.9867935983316
2019-02-24,3985.1708804270697
2019-02-25,3793.1636293096726
2019-02-26,3799.54021730301
2019-02-27,3794.9455016428783
2019-02-28,3810.4466529304377
2019-03-01,3813.541283693882
2019-03-02,3804.940802442846
2019-03-03,3800.9875024502203
2019-03-04,3723.4534589791233
2019-03-05,3769.1668693491297
2019-03-06,3839.430915640906
2019-03-07,3861.3062407765815
2019-03-08,3871.9730141896553
2019-03-09,3891.3293129460926
2019-03-10,3892.636875430195
2019-03-11,3862.998870218578
2019-03-12,3847.3392074014164
2019-03-13,3852.8997603182906
2019-03-14,3850.1382019363705
2019-03-15,3878.6403578497334
2019-03-16,3978.6413067432754
2019-03-17,3963.4112159366578
2019-03-18,3968.9576750205015
2019-03-19,3976.945427989934
2019-03-20,3995.9720014332593
2019-03-21,4005.2721333405443
2019-03-22,3981.800272055191
2019-03-23,3980.326499294462
2019-03-24,3968.4624512298406
2019-03-25,3949.1003203494884
2019-03-26,3908.2368516197325
2019-03-27,3994.073715850643
2019-03-28,4009.1424706244766
2019-03-29,4057.981304802248
2019-03-30,4083.9740598408102
2019-03-31,4088.429470008415
2019-04-01,4125.6831563244605
2019-04-02,4649.127833447871
2019-04-03,5038.3857384682415
2019-04-04,4971.545798205428
2019-04-05,4980.670549616034
2019-04-06,5044.045355965485
2019-04-07,5128.484710430338
2019-04-08,5241.454285995178
2019-04-09,5221.160476532493
2019-04-10,5270.750017079167
2019-04-11,5129.666959568337
2019-04-12,5047.457160680197
2019-04-13,5084.583871902046
2019-04-14,5078.929244976849
2019-04-15,5121.256873948459
2019-04-16,5098.903679622812
2019-04-17,5218.597220403338
2019-04-18,5263.827501811347
2019-04-19,5259.180188799351
2019-04-20,5313.194743326632
2019-04-21,5287.273093444014
2019-04-22,5317.854806459386
2019-04-23,5532.974696689755
2019-04-24,5487.736644192154
2019-04-25,5422.877398286108
2019-04-26,5149.359096159833
2019-04-27,5165.037288717595
2019-04-28,5169.575513691467
2019-04-29,5154.816543360673
2019-04-30,5200.883942799437
2019-05-01,5304.521240029992
2019-05-02,5362.3378621555
2019-05-03,5618.799695449649
